lic,name,entity,address,zip,cd,cb,codes,bakery,prep,sqft,lat,lng,geocoded
617558,A&E Convenience,A&E Convenience Corp,3090 Avenue U,11229,315,BKCB15,AC,False,True,1000,40.6014,-73.93557,False
617548,Steves C Town 041010,Alexas Food Corp,329 9Th St,11215,306,BKCB6,AC,False,True,13000,40.66875,-73.9854,False
617547,New Adam Deli Grocery,New Adam Deli Grocery Inc,1750 Nostrand Ave,11226,317,BKCB17,AC,False,True,1200,40.64309,-73.94873,False
617545,P&K Produce,P&K Produce Corp,449 Kings Hwy,11223,311,BKCB11,AC,False,True,1500,40.60432,-73.97349,False
617528,One Stop Deli,Ahmed Abdul Gabbar,647 4Th Ave,11232,307,BKCB7,AC,False,True,1000,40.66347,-73.9948,False
617523,Tuniservice,Tuniservice Corp,306 18Th Street,11215,307,BKCB7,AC,False,True,900,40.66177,-73.98963,False
617519,Bp,Grand Petroleum Llc,1049 Grand St #######,11211,301,BKCB1,AC,False,True,0,40.71403,-73.93368,True
617478,Samias Medit Cuisine,Captain Grocery Inc,7922 3Rd Ave,11209,310,BKCB10,ABC,True,True,800,40.62799,-74.02922,False
617473,New Millennium Grocery,Ortiz Johnny O,510 Ocean Ave,11226,314,BKCB14,AC,False,True,1800,40.65031,-73.96106,False
617469,Stingray Of Brooklyn,Stingray Of Brooklyn Fish Mkt Cor,375 E 98Th St ####,11212,316,BKCB16,AC,False,True,1000,40.65905,-73.91629,False
617468,86 B'Klyn Grocery,86 B'Klyn Grocery Inc,2377 86Th St###,11214,311,BKCB11,A,False,False,1500,40.59939,-73.98966,False
617467,Ocean Treasures,Ocean Treasures Llc,4021 18Th Ave #####,11218,314,BKCB14,ACH,False,True,4000,40.632154,-73.973655,True
617455,Brooklyn'S Natural Food,Spring Natural Food Inc,49 Bogart St,11206,301,BKCB1,AC,False,True,2600,40.70533,-73.9333,False
617448,Bagel Hole Park Slope,Bagel Hole Inc,400 7Th Ave,11215,306,BKCB6,ABCH,True,True,1500,40.66476,-73.98335,False
617435,New York Bread,New York Bread Inc,2201 Neptune Ave,11224,313,BKCB13,ABCH,True,True,5000,40.5784,-73.99018,False
617427,Tonys Country Life Food,Antonette Inc,1316 Fulton St,11216,303,BKCB3,AC,False,True,1600,40.68031,-73.94811,False
617425,Gourmet Grocery,Candy Shop 93 Inc,9305 3Rd Ave,11209,310,BKCB10,A,False,False,1000,40.61861,-74.03305,False
617416,Foodtown #603,1966 K Food Llc,1958 Ralph Ave #########,11234,318,BKCB18,AC,False,True,10000,40.630036,-73.919049,True
617384,Big Apple Fruit&Vgtbl,Lee Chong Suk,649 5Th Ave,11215,307,BKCB7,AC,False,True,1400,40.66268,-73.99201,False
617379,Gourmet Boutique Of Ny,Gourmet Boutique Of Ny Llc,3688 Nostrand Ave,11229,315,BKCB15,AC,False,True,6400,40.59407,-73.94065,False
617356,Oasis Food Mart,Oasis Food Mart Corp,616 4Th Ave,11215,307,BKCB7,AC,False,True,1500,40.66479,-73.99359,False
617342,Bob&Bettys Supermarket,805 Franklin Ave Food Corp,805 Franklin Ave ####,11238,308,BKCB8,AC,False,True,3500,40.67135,-73.95771,False
617334,Prospect Park Deli,Prospect Park Food Corp,155 Prospect Park Sw,11218,355,,AC,False,True,1000,40.65478,-73.9733,False
617322,Tauber Fish Market,Tauber Yechiel,149 Lee Ave,11211,301,BKCB1,AC,False,True,800,40.70338,-73.95732,False
617316,Gobwa Exotic Imports,Gobwa Exotic Imports Inc,1127 Nostrand Ave,11225,309,BKCB9,AC,False,True,2000,40.66024,-73.95057,False
617289,Bagel Boy,Ocean Avenue Bagel Boy Llc,2601 E 16Th St,11235,315,BKCB15,ABCH,True,True,3000,40.58791,-73.95341,False
617288,Meal Mart,Greenfelds Llc,128 Lee Ave,11211,301,BKCB1,AC,False,True,900,40.70394,-73.95795,False
617286,Chestnut,Mega Mart Llc,700 Myrtle Ave  #######,11205,303,BKCB3,AC,False,True,10000,40.694295,-73.955395,True
617280,7 Ave Gourmet,7 Ave Gourmet Inc,75 7Th Ave,11217,306,BKCB6,AC,False,True,3000,40.675,-73.9751,False
617278,Avenue H Deli,Avenue H Deli Inc,4924 Avenue H,11234,318,BKCB18,AC,False,True,1500,40.63284,-73.92859,False
617274,Ckm Deli Grocery,Ckm Deli Grocery Corp,510 Hinsdale St,11207,305,BKCB5,AC,False,True,600,40.66234,-73.89824,False
617270,Grocery Guatemala,Grocery Guatemalteca Corp,6904 New Utrecht Ave,11228,311,BKCB11,AC,False,True,1200,40.62038,-73.99863,False
617252,Caribbean Fruit&Veg,Great Vegetable Farm Inc,1823 Church Ave,11226,314,BKCB14,AC,False,True,2400,40.64972,-73.96239,False
617251,Melo Baez Food,Melo Baez Food Corp,413 Lefferts Ave,11225,309,BKCB9,AC,False,True,1000,40.66254,-73.94754,False
617231,Cholula Ii Deli & Groc,Cholula Ii Deli & Grocery Inc,633 Myrtle Ave,11205,303,BKCB3,AC,False,True,1500,40.69442,-73.95849,False
617208,Brothers Deli #2,Omar Yasser A,669 E 98Th St,11236,317,BKCB17,AC,False,True,1000,40.65345,-73.91008,False
617196,7-Eleven Store 33680A,Bal Navdeep S,953 Kings Hwy ####,11223,315,BKCB15,AC,False,True,0,40.60723,-73.9622,False
617192,Chang Fa Food Market,Chang Fa Food Market Inc,1418 Avenue U,11229,315,BKCB15,AC,False,True,6000,40.59879,-73.95672,False
617191,Walgreens #12541,Walgreen Eastern Co Inc,1847 Rockaway Pkwy,11236,318,BKCB18,A,False,False,4000,40.63729,-73.89283,False
617169,Mian Convenience & Deli,Tabusam Naila,754 Coney Island Ave,11218,312,BKCB12,AC,False,True,1500,40.63917,-73.96877,False
617164,Hoque 99,Hoque Corp,3812 13Th Ave,11218,312,BKCB12,A,False,False,2000,40.64097,-73.98593,False
617142,Super 13,Its Cheese Inc,5214 13Th Ave,11219,312,BKCB12,AC,False,True,2500,40.63305,-73.99418,False
617124,Key Food 1072,Matlyn Foods Inc,102 Montague St,11201,302,BKCB2,AC,False,True,10000,40.69508,-73.99536,False
617116,Roccos Bakery&Deli,117 Brighton Beach Bkey&Deli Inc,117 Brighton Beach Av,11235,313,BKCB13,ABCH,True,True,1000,40.57634,-73.96757,False
617107,Meats Supreme,181 Avenue U Meats Inc,181 Avenue U,11223,311,BKCB11,AC,False,True,2000,40.59654,-73.97729,False
617102,La Finca Frts & Vegs,La Finca Fruits And Vegetables Corp,39 Debevoise St,11206,301,BKCB1,AC,False,True,1000,40.7017,-73.94144,False
617099,L&E Supermarket & Deli,L&E Supermarket & Deli Inc,4418 4Th Ave,11220,307,BKCB7,AC,False,True,1800,40.64947,-74.00954,False
617096,Kings 84 Mobil,Bolla Operating Corp,8401 Flatlands Ave #####,11236,318,BKCB18,AC,False,True,2000,40.637866,-73.910331,True
617059,1080 Family Mini Market,1080 Family Minimarket Corp,1080 Nostrand Ave,11225,309,BKCB9,AC,False,True,1200,40.66168,-73.95072,False
617053,Shan Market,Rhn Corp,2616-2620 Cropsey Ave,11214,313,BKCB13,AC,False,True,2000,40.58997,-73.99127,False
617044,All Fresh Supermarket,All Fresh Supermarket Inc,46 Harrison Ave,11211,301,BKCB1,AC,False,True,1200,40.70566,-73.95328,False
617034,Rossman Farms,Rossman Fruit&Vegt Dist Inc,770 3Rd Ave,11232,307,BKCB7,AC,False,True,15000,40.66137,-74.00054,False
617024,Cristoford Fish Market,Cristoford Fish Market Inc,7002 18Th Ave,11204,311,BKCB11,AC,False,True,3900,40.61617,-73.99317,False
617007,Variety Center&Grocery,Henry Clifford,183 Malcolm X Blvd,11221,303,BKCB3,A,False,False,1700,40.68687,-73.92984,False
616997,Duane Reade 14464,Duane Reade Etal Ptrs,436 86Th St,11209,310,BKCB10,A,False,False,8000,40.6222,-74.0274,False
616990,Melaney Food Center,Melaney Food Center Corp,410 Rogers Ave,11225,309,BKCB9,AC,False,True,1000,40.66271,-73.95376,False
616973,Yidels Usa,Shopping Cart Usa Llc The,4921 12Th Ave,11219,312,BKCB12,AC,False,True,7200,40.63595,-73.99478,False
616972,A&Z International,A&Z International Inc,506 Foster Ave,11230,314,BKCB14,AC,False,True,1800,40.62947,-73.97264,False
